epoch,adam_stiefel,adam_regular,gradient_stiefel,momentum_stiefel
183,0.308357,1.342491,0.769023,0.739455
184,0.325005,1.342551,0.768734,0.739108
185,0.322267,1.342660,0.768394,0.738906
186,0.320243,1.342540,0.767959,0.738406
187,0.311583,1.342624,0.767882,0.738304
188,0.322637,1.342583,0.767584,0.738023
189,0.318021,1.342729,0.767344,0.737792
190,0.314722,1.342966,0.767101,0.737737
191,0.309510,1.342553,0.766957,0.737470
192,0.318920,1.342576,0.766830,0.737452
193,0.316572,1.342638,0.766536,0.737062
194,0.309525,1.342526,0.766512,0.737148
195,0.316415,1.342578,0.766088,0.736756
196,0.309884,1.342775,0.765630,0.736295
197,0.305472,1.342527,0.765711,0.736337
198,0.300566,1.342497,0.765527,0.736294
199,0.311988,1.342573,0.765131,0.735783
200,0.298261,1.342687,0.765087,0.735743
201,0.313519,1.342598,0.764819,0.735556
202,0.326469,1.342589,0.764640,0.735452
203,0.302769,1.342678,0.764150,0.734912
204,0.299256,1.342425,0.764175,0.735013
205,0.299609,1.342725,0.763933,0.734734
206,0.293860,1.342700,0.763647,0.734493
207,0.311979,1.342562,0.763482,0.734313
208,0.315195,1.342599,0.763140,0.733983
209,0.299178,1.342712,0.762885,0.733772
210,0.307152,1.342739,0.762839,0.733676
211,0.308314,1.342648,0.762561,0.733506
212,0.290422,1.342674,0.762356,0.733272
213,0.295120,1.342492,0.762046,0.732974
214,0.296827,1.342648,0.762148,0.733094
215,0.291627,1.342622,0.761762,0.732694
216,0.293658,1.342514,0.761639,0.732594
217,0.312839,1.342551,0.761330,0.732326
218,0.296389,1.342452,0.761086,0.732070
219,0.295270,1.342632,0.760835,0.731862
220,0.306549,1.342555,0.760799,0.731795
221,0.304970,1.342688,0.760349,0.731366
222,0.297649,1.342600,0.760286,0.731363
223,0.294031,1.342601,0.760053,0.731097
224,0.294917,1.342712,0.760077,0.731176
225,0.287598,1.342496,0.759741,0.730794
226,0.283448,1.342563,0.759462,0.730509
227,0.283961,1.342653,0.759498,0.730632
228,0.293509,1.342559,0.759214,0.730340
229,0.296817,1.342576,0.758773,0.729895
230,0.294306,1.342525,0.758566,0.729639
231,0.295212,1.342466,0.758483,0.729659
232,0.286125,1.342525,0.758366,0.729509
233,0.280411,1.342640,0.758044,0.729182
234,0.299826,1.342775,0.757955,0.729013
235,0.284174,1.342551,0.757817,0.728948
236,0.288616,1.342650,0.757710,0.728838
237,0.301124,1.342550,0.757510,0.728630
238,0.301611,1.342650,0.757334,0.728423
239,0.277711,1.342590,0.757001,0.728179
240,0.277821,1.342586,0.756834,0.727928
241,0.284565,1.342713,0.756793,0.727960
242,0.281210,1.342738,0.756293,0.727447
243,0.279637,1.342513,0.755983,0.727096
244,0.281357,1.342599,0.755859,0.727066
245,0.280859,1.342664,0.756043,0.727180
246,0.297116,1.342602,0.755691,0.726857
247,0.298503,1.342538,0.755666,0.726897
248,0.291848,1.342574,0.755317,0.726402
249,0.288749,1.342614,0.755242,0.726419
250,0.277840,1.342625,0.755051,0.726223
251,0.272288,1.342625,0.754804,0.725971
252,0.273792,1.342626,0.754590,0.725778
253,0.277015,1.342638,0.754569,0.725698
254,0.273516,1.342612,0.754064,0.725181
255,0.279277,1.342663,0.754331,0.725448
256,0.276569,1.342436,0.754051,0.725199
257,0.277969,1.342560,0.753767,0.724894
258,0.278842,1.342442,0.753675,0.724824
259,0.269881,1.342491,0.753609,0.724779
260,0.270591,1.342604,0.753147,0.724265
261,0.277222,1.342765,0.753174,0.724325
262,0.279635,1.342533,0.752935,0.723972
263,0.284993,1.342449,0.752754,0.723928
264,0.276422,1.342715,0.752562,0.723626
265,0.270601,1.342663,0.752221,0.723245
266,0.272097,1.342439,0.752479,0.723638
267,0.309432,1.342587,0.751890,0.722945
268,0.268470,1.342599,0.752053,0.723099
269,0.260465,1.342627,0.751847,0.722969
270,0.263677,1.342747,0.751512,0.722597
271,0.266492,1.342658,0.751591,0.722646
272,0.290595,1.342573,0.751183,0.722265
273,0.269536,1.342664,0.751567,0.722538
274,0.263637,1.342586,0.751095,0.722067
275,0.270630,1.342629,0.750995,0.721993
276,0.283810,1.342563,0.750713,0.721620
277,0.269723,1.342562,0.750710,0.721652
278,0.263353,1.342665,0.750532,0.721530
279,0.275523,1.342531,0.750456,0.721515
280,0.276716,1.342525,0.750259,0.721270
281,0.265979,1.342576,0.749748,0.720754
282,0.270301,1.342615,0.750047,0.721067
283,0.287026,1.342537,0.749634,0.720631
284,0.272771,1.342513,0.749438,0.720356
285,0.259641,1.342613,0.749613,0.720542
286,0.260163,1.342489,0.749026,0.719877
287,0.265053,1.342661,0.749150,0.720058
288,0.262357,1.342740,0.749123,0.720058
289,0.262007,1.342489,0.748847,0.719679
290,0.261289,1.342567,0.748674,0.719560
291,0.266605,1.342650,0.748415,0.719179
292,0.254861,1.342641,0.748492,0.719360
293,0.260745,1.342529,0.748306,0.719153
294,0.268387,1.342665,0.748034,0.718837
295,0.265684,1.342611,0.747969,0.718683
296,0.263879,1.342650,0.747947,0.718768
297,0.254936,1.342654,0.747830,0.718604
298,0.258965,1.342667,0.747556,0.718292
299,0.262258,1.342575,0.747431,0.718189
300,0.266163,1.342613,0.747386,0.718060
301,0.272906,1.342637,0.746893,0.717631
302,0.261741,1.342626,0.746938,0.717609
303,0.264315,1.342409,0.746637,0.717280
304,0.265766,1.342590,0.746634,0.717299
305,0.258674,1.342863,0.746484,0.717155
306,0.258199,1.342640,0.746570,0.717243
307,0.258623,1.342565,0.746113,0.716715
308,0.249077,1.342605,0.746251,0.716832
309,0.256649,1.342476,0.746040,0.716738
310,0.257342,1.342527,0.745954,0.716514
311,0.277194,1.342627,0.745718,0.716292
312,0.269617,1.342653,0.745451,0.715997
313,0.255623,1.342662,0.745524,0.715963
314,0.253646,1.342556,0.745349,0.715888
315,0.271290,1.342779,0.745273,0.715714
316,0.268935,1.342600,0.744771,0.715226
317,0.264866,1.342528,0.744944,0.715392
318,0.247085,1.342576,0.744839,0.715251
319,0.243805,1.342527,0.744546,0.715011
320,0.261102,1.342551,0.744717,0.715114
321,0.272969,1.342486,0.744284,0.714657
322,0.252083,1.342760,0.744184,0.714561
323,0.244849,1.342575,0.744137,0.714433
324,0.246532,1.342617,0.744061,0.714398
325,0.257781,1.342645,0.743964,0.714263
326,0.247877,1.342750,0.743857,0.714076
327,0.244380,1.342627,0.743446,0.713773
328,0.255739,1.342496,0.743438,0.713684
329,0.254037,1.342603,0.743523,0.713713
330,0.240380,1.342662,0.743383,0.713516
331,0.253370,1.342662,0.742787,0.713003
332,0.254385,1.342566,0.743064,0.713322
333,0.251834,1.342663,0.743101,0.713263
334,0.250620,1.342512,0.742576,0.712803
335,0.247005,1.342560,0.742637,0.712844
336,0.257786,1.342563,0.742559,0.712668
337,0.256806,1.342552,0.742374,0.712367
338,0.250836,1.342650,0.741962,0.712022
339,0.254599,1.342675,0.742002,0.711977
340,0.257480,1.342460,0.742009,0.712005
341,0.244748,1.342449,0.741867,0.711874
342,0.242371,1.342462,0.741871,0.711825
343,0.239991,1.342576,0.741682,0.711631
344,0.240834,1.342622,0.741747,0.711760
345,0.254152,1.342674,0.741510,0.711361
346,0.250767,1.342589,0.741025,0.710822
347,0.243997,1.342477,0.741283,0.711133
348,0.256558,1.342501,0.741009,0.710861
349,0.245925,1.342641,0.740726,0.710578
350,0.237857,1.342641,0.740687,0.710488
351,0.257065,1.342829,0.740765,0.710579
352,0.248385,1.342514,0.740750,0.710556
353,0.254418,1.342640,0.740666,0.710373
354,0.238131,1.342490,0.740477,0.710088
355,0.243831,1.342525,0.740081,0.709835
356,0.248347,1.342499,0.740030,0.709678
357,0.238334,1.342460,0.739960,0.709550
358,0.238995,1.342499,0.740051,0.709660
359,0.241278,1.342601,0.739885,0.709511
360,0.231321,1.342862,0.739817,0.709301
361,0.260920,1.342702,0.739511,0.709042
362,0.236914,1.342564,0.739743,0.709381
363,0.247171,1.342412,0.739522,0.709068
364,0.240845,1.342602,0.739278,0.708802
365,0.232955,1.342764,0.738910,0.708405
366,0.245474,1.342500,0.738788,0.708238
367,0.245778,1.342626,0.739135,0.708576
368,0.237416,1.342440,0.739018,0.708404
369,0.244751,1.342552,0.738543,0.707861
370,0.236771,1.342535,0.738751,0.708099
371,0.243226,1.342536,0.738439,0.707803
372,0.230859,1.342602,0.738209,0.707563
373,0.242112,1.342601,0.738608,0.707891
374,0.245220,1.342651,0.738108,0.707335
375,0.267170,1.342576,0.737990,0.707176
376,0.238182,1.342562,0.737708,0.706978
377,0.238981,1.342587,0.737904,0.707124
378,0.243890,1.342523,0.737870,0.707122
379,0.247501,1.342758,0.737822,0.706961
380,0.223892,1.342586,0.737544,0.706714
381,0.233130,1.342584,0.737398,0.706474
382,0.233705,1.342548,0.737140,0.706301
383,0.229065,1.342549,0.737231,0.706308
384,0.256190,1.342589,0.736892,0.705915
385,0.239907,1.342615,0.736855,0.705876
386,0.249926,1.342637,0.736863,0.705913
387,0.250999,1.342614,0.736751,0.705645
388,0.229297,1.342751,0.736662,0.705610
389,0.226567,1.342534,0.736610,0.705574
390,0.232134,1.342678,0.736323,0.705251
391,0.230391,1.342565,0.736277,0.705195
392,0.231008,1.342614,0.736179,0.705081
393,0.234935,1.342834,0.736014,0.704826
394,0.231846,1.342523,0.736062,0.704871
395,0.236002,1.342500,0.735973,0.704787
396,0.235113,1.342627,0.735703,0.704404
397,0.248046,1.342541,0.735662,0.704396
398,0.235482,1.342626,0.735778,0.704483
399,0.242088,1.342776,0.735121,0.703890
400,0.231747,1.342547,0.735515,0.704216
401,0.232659,1.342676,0.735131,0.703758
402,0.238935,1.342563,0.735277,0.703894
403,0.228926,1.342638,0.735171,0.703799
404,0.230166,1.342725,0.734935,0.703578
405,0.231148,1.342435,0.734794,0.703346
406,0.237885,1.342639,0.734765,0.703375
407,0.231404,1.342626,0.734868,0.703382
408,0.231585,1.342515,0.734445,0.702866
409,0.236508,1.342640,0.734486,0.702982
410,0.245834,1.342538,0.734272,0.702800
411,0.230365,1.342526,0.734526,0.702947
412,0.241708,1.342489,0.734232,0.702640
413,0.233568,1.342715,0.734185,0.702526
414,0.225090,1.342662,0.734026,0.702498
415,0.244862,1.342551,0.734051,0.702477
416,0.231068,1.342615,0.733664,0.701963
417,0.232835,1.342524,0.733554,0.701934
418,0.227210,1.342638,0.733749,0.702042
419,0.232393,1.342724,0.733569,0.701780
420,0.230908,1.342478,0.733422,0.701663
421,0.217117,1.342603,0.733236,0.701480
422,0.226391,1.342551,0.733171,0.701407
423,0.237014,1.342576,0.733188,0.701438
424,0.242487,1.342464,0.732748,0.700966
425,0.234508,1.342588,0.732958,0.701112
426,0.224135,1.342654,0.732872,0.701065
427,0.225094,1.342525,0.732728,0.700827
428,0.250567,1.342439,0.732124,0.700217
429,0.229383,1.342527,0.732606,0.700705
430,0.226754,1.342613,0.732382,0.700495
431,0.224498,1.342726,0.732133,0.700125
432,0.230607,1.342540,0.732414,0.700452
433,0.234572,1.342614,0.732045,0.700059
434,0.227365,1.342679,0.732033,0.699973
435,0.228074,1.342615,0.731810,0.699744
436,0.231174,1.342597,0.731710,0.699644
437,0.231698,1.342410,0.731838,0.699728
438,0.221207,1.342650,0.731697,0.699556
439,0.229006,1.342528,0.731406,0.699388
440,0.228635,1.342511,0.731079,0.699045
441,0.230714,1.342589,0.731291,0.699156
442,0.229781,1.342561,0.731276,0.699194
443,0.235965,1.342479,0.730754,0.698547
444,0.227859,1.342478,0.730894,0.698728
445,0.210719,1.342416,0.731006,0.698844
446,0.218753,1.342638,0.730768,0.698583
447,0.220891,1.342737,0.730802,0.698566
448,0.243458,1.342539,0.730737,0.698410
449,0.237955,1.342477,0.730387,0.698043
450,0.222466,1.342552,0.730562,0.698269
451,0.228630,1.342425,0.730310,0.698069
452,0.224730,1.342677,0.730330,0.698028
453,0.217497,1.342691,0.730389,0.698047
454,0.223747,1.342548,0.730080,0.697679
455,0.225045,1.342703,0.730082,0.697628
456,0.237322,1.342560,0.729950,0.697520
457,0.233076,1.342725,0.729934,0.697462
458,0.231720,1.342476,0.729808,0.697326
459,0.226247,1.342600,0.729794,0.697299
460,0.240663,1.342549,0.729588,0.697063
461,0.225837,1.342641,0.729386,0.696878
462,0.217842,1.342700,0.729558,0.696977
463,0.224370,1.342664,0.729119,0.696597
464,0.225125,1.342472,0.729339,0.696731
465,0.211637,1.342573,0.728868,0.696313
466,0.217976,1.342800,0.728862,0.696290
467,0.238499,1.342514,0.729018,0.696373
468,0.228798,1.342586,0.728859,0.696397
469,0.218614,1.342542,0.728818,0.696247
470,0.259075,1.342665,0.728746,0.696202
471,0.234844,1.342515,0.728368,0.695739
472,0.220046,1.342603,0.728335,0.695712
473,0.222101,1.342561,0.728317,0.695531
474,0.208168,1.342593,0.728080,0.695356
475,0.224362,1.342640,0.728150,0.695455
476,0.222666,1.342488,0.727959,0.695224
477,0.219107,1.342562,0.727980,0.695173
478,0.221086,1.342662,0.728046,0.695319
479,0.232216,1.342624,0.727889,0.695170
480,0.217379,1.342448,0.727879,0.695059
481,0.216476,1.342490,0.727673,0.694858
482,0.234444,1.342563,0.727604,0.694887
483,0.228886,1.342637,0.727354,0.694523
484,0.241394,1.342455,0.727323,0.694339
485,0.225927,1.342576,0.727275,0.694467
486,0.211233,1.342729,0.727171,0.694343
487,0.221068,1.342587,0.727195,0.694453
488,0.220105,1.342490,0.727194,0.694316
489,0.235412,1.342650,0.727046,0.694105
490,0.238029,1.342686,0.726732,0.693837
491,0.221505,1.342517,0.726668,0.693747
492,0.216562,1.342513,0.726476,0.693637
493,0.220969,1.342536,0.726624,0.693730
494,0.228004,1.342625,0.726616,0.693628
495,0.217085,1.342575,0.726389,0.693389
496,0.212097,1.342566,0.726317,0.693436
497,0.221023,1.342661,0.726040,0.693035
498,0.220089,1.342511,0.726114,0.693108
499,0.227321,1.342463,0.725997,0.693009
500,0.234011,1.342450,0.725928,0.692925
